date, time, x, y, answer, isCorrect, 
3/22/2022 11:55:03 AM, 4.576023, 0, 0, 237, correct
3/22/2022 11:55:10 AM, 11.48805, 0, 1, 474, correct
3/22/2022 11:55:13 AM, 14.44006, 0, 2, 79, correct
3/22/2022 11:55:18 AM, 20.24449, 0, 3, 632, correct
3/22/2022 11:55:26 AM, 27.90405, 0, 4, 395, correct
3/22/2022 11:55:30 AM, 31.49607, 0, 5, 158, correct
3/22/2022 11:55:37 AM, 39.24868, 0, 6, 869, correct
3/22/2022 11:55:44 AM, 46.15208, 0, 7, 316, correct
3/22/2022 11:55:55 AM, 57.28804, 0, 8, 553, correct
3/22/2022 11:56:01 AM, 62.61209, 0, 9, 713, wrong
3/22/2022 11:56:04 AM, 65.6201, 1, 0, 60, correct
3/22/2022 11:56:05 AM, 66.97253, 1, 1, 120, correct
3/22/2022 11:56:07 AM, 68.46809, 1, 2, 20, correct
3/22/2022 11:56:11 AM, 73.17617, 1, 3, 160, correct
3/22/2022 11:56:13 AM, 74.95618, 1, 4, 100, correct
3/22/2022 11:56:15 AM, 76.66808, 1, 5, 40, correct
3/22/2022 11:56:17 AM, 78.84789, 1, 6, 220, correct
3/22/2022 11:56:19 AM, 80.56854, 1, 7, 80, correct
3/22/2022 11:56:25 AM, 86.4241, 1, 8, 140, correct
3/22/2022 11:56:27 AM, 88.8723, 1, 9, 180, correct
3/22/2022 11:56:30 AM, 91.70417, 2, 0, 36, correct
3/22/2022 11:56:32 AM, 93.5085, 2, 1, 72, correct
3/22/2022 11:56:33 AM, 94.99209, 2, 2, 12, correct
3/22/2022 11:56:35 AM, 97.27608, 2, 3, 96, correct
3/22/2022 11:56:37 AM, 99.27651, 2, 4, 60, correct
3/22/2022 11:56:39 AM, 100.8681, 2, 5, 24, correct
3/22/2022 11:56:41 AM, 103.3401, 2, 6, 132, correct
3/22/2022 11:56:44 AM, 105.4882, 2, 7, 48, correct
3/22/2022 11:56:47 AM, 109.2362, 2, 8, 84, correct
3/22/2022 11:56:50 AM, 111.5361, 2, 9, 108, correct
3/22/2022 11:56:51 AM, 113.1681, 3, 0, 108, correct
3/22/2022 11:56:54 AM, 115.9601, 3, 1, 216, correct
3/22/2022 11:56:57 AM, 118.4247, 3, 2, 36, correct
3/22/2022 11:57:04 AM, 125.9608, 3, 3, 228, wrong
3/22/2022 11:57:06 AM, 127.6521, 3, 4, 180, correct
3/22/2022 11:57:08 AM, 129.996, 3, 5, 72, correct
3/22/2022 11:57:14 AM, 135.4561, 3, 6, 396, correct
3/22/2022 11:57:16 AM, 137.8768, 3, 6, 396, correct
3/22/2022 11:57:18 AM, 139.6723, 3, 6, 396, correct
3/22/2022 11:57:19 AM, 141.3762, 3, 7, 144, correct
3/22/2022 11:57:25 AM, 146.4088, 3, 8, 252, correct
3/22/2022 11:57:37 AM, 158.4041, 3, 9, 324, correct
3/22/2022 11:57:41 AM, 162.7361, 4, 0, 198, correct
3/22/2022 11:57:45 AM, 166.6409, 4, 1, 396, correct
3/22/2022 11:57:49 AM, 170.8767, 4, 2, 1, wrong
3/22/2022 11:57:50 AM, 171.5721, 4, 2, 1, wrong
3/22/2022 11:57:50 AM, 172.0441, 4, 2, 1, wrong
3/22/2022 11:57:51 AM, 172.5084, 4, 2, 1, wrong
3/22/2022 11:57:52 AM, 173.5564, 4, 3, 1, wrong
3/22/2022 11:57:53 AM, 175.0401, 4, 4, 1, wrong
3/22/2022 11:57:55 AM, 176.8681, 4, 5, 1, wrong
3/22/2022 11:57:55 AM, 177.3721, 4, 6, 1, wrong
3/22/2022 11:57:56 AM, 177.6564, 4, 7, 1, wrong
3/22/2022 11:57:56 AM, 177.9244, 4, 8, 1, wrong
3/22/2022 11:57:56 AM, 178.1721, 4, 9, 1, wrong
3/22/2022 11:57:57 AM, 178.4768, 5, 0, 1, wrong
3/22/2022 11:57:57 AM, 178.8203, 5, 1, 1, wrong
3/22/2022 11:57:57 AM, 179.1642, 5, 2, 1, wrong
3/22/2022 11:57:58 AM, 179.5244, 5, 3, 1, wrong
